id,date_time,state,quantity,product,unit_price,total_price
99d57a23-39b4-487c-873e-87db98909521,03/23/2023 03:02:50,rio grande do sul,55,removedor de insetos,19.9,1094.5
e55a0b92-52a0-40ae-9c00-36d1c3880716,01/26/2023 16:47:26,rio grande do sul,8,polidor de metais automotivo,39.9,319.2
59312d86-dd98-405d-9ff5-c3bb3293e96f,02/04/2023 19:10:22,paraná,68,limpa-tapetes automotivo,34.9,2373.2
84acdcec-c58c-42f5-9a3f-0388b472bc07,03/27/2023 13:14:36,rio grande do sul,17,removedor de insetos,19.9,338.3
eaff696f-edea-4877-970e-ee2f288d48fb,03/15/2023 14:52:17,rio grande do sul,34,cera automotiva,39.9,1356.6
c2c595de-46eb-48e5-852b-c23d92b75da1,03/09/2023 07:40:00,paraná,6,cera automotiva,39.9,239.4
437fb404-2280-4475-854f-71be38320401,02/07/2023 15:15:42,santa catarina,63,polidor de metais automotivo,39.9,2513.7
e00868e4-f41c-4cb9-a604-f0d445671d78,04/25/2023 00:16:29,santa catarina,31,limpa-estofados automotivo,49.9,1546.9
5ea8ef80-ecc8-4de9-b3b4-cd6b905ac798,01/07/2023 12:47:32,paraná,9,cera automotiva,39.9,359.1
1c1682b9-6383-4d07-9920-a435310cea47,02/07/2023 12:54:38,paraná,46,polidor de metais automotivo,39.9,1835.4
a98bf5ce-509b-4163-bbc1-9af03e6b3d5c,03/08/2023 07:39:19,rio grande do sul,62,polidor de metais automotivo,39.9,2473.8
10b121cd-8271-4d23-bfde-d1aff637c887,04/18/2023 13:06:51,santa catarina,66,cera automotiva,39.9,2633.4
1c64312b-dec2-407f-b846-d19cb8e4891a,01/25/2023 19:54:57,paraná,41,limpa-estofados automotivo,49.9,2045.9
e3f9d193-9ebb-4278-84fc-3cbd8c543767,01/24/2023 19:32:02,santa catarina,19,limpa-vidros automotivo,19.9,378.1
082af1df-1f06-4397-affd-136ea230cc57,03/21/2023 04:35:14,rio grande do sul,70,shampoo para carros,29.9,2093.0
3b344147-f9bc-4d00-9a3b-ef7e15bd649b,02/24/2023 09:49:38,santa catarina,56,limpa-rodas,24.9,1394.4
3bda1c69-597b-4d2b-b22e-f77115332af5,03/31/2023 23:44:08,paraná,9,limpa-vidros automotivo,19.9,179.1
67b04e11-12f7-45d8-b2fb-d3da76e70ea1,03/07/2023 00:54:45,santa catarina,54,limpa-estofados automotivo,49.9,2694.6
75ef1a99-073e-4f0c-b46d-6ee735905304,04/06/2023 19:28:24,santa catarina,72,limpa-estofados automotivo,49.9,3592.8
0591ad92-b837-436d-bff8-aab3e9c4e0ad,03/09/2023 01:57:47,rio grande do sul,49,polidor de metais automotivo,39.9,1955.1
6e8226d4-533f-405a-8166-b9491fcade25,03/10/2023 12:20:29,paraná,47,condicionador de couro automotivo,49.9,2345.3
64d5a62e-122a-4772-9f4a-8f7026e69b21,03/01/2023 13:41:01,rio grande do sul,66,removedor de insetos,19.9,1313.4
f70d50dc-0c64-44ba-bf63-8981676b395b,04/12/2023 00:06:02,paraná,2,shampoo para carros,29.9,59.8
45bca1c8-6169-4983-a184-c8bfd9f92eff,02/09/2023 11:45:43,rio grande do sul,91,cera automotiva,39.9,3630.9
2e988677-c21a-4781-93ad-dc7ff9acdae9,03/30/2023 22:30:28,paraná,75,desodorizador de ar automotivo,14.9,1117.5
15450c3c-2656-4180-b09b-c88b1e23320e,01/16/2023 08:20:07,santa catarina,96,cera automotiva,39.9,3830.4
9afe775e-acdb-48ea-b61e-666796b7d469,02/16/2023 20:33:08,santa catarina,3,condicionador de couro automotivo,49.9,149.7
f9a7367b-179b-4bcd-839b-1c3fa4c7e3a1,02/26/2023 17:04:09,paraná,12,desodorizador de ar automotivo,14.9,178.8
6db37da7-dc7a-4a3d-8151-25ed3e385132,04/05/2023 02:55:31,santa catarina,23,shampoo para carros,29.9,687.7
fb0af553-3b54-44a6-8f6e-e6b7c3bd5a3f,01/20/2023 08:33:01,paraná,46,limpa-vidros automotivo,19.9,915.4
18d9c2fd-125a-4c95-9e3f-86a3060767f9,03/25/2023 15:08:21,santa catarina,86,shampoo para carros,29.9,2571.4
c8f413f0-e559-4bce-8da6-7781bede3f01,02/11/2023 07:02:39,rio grande do sul,97,polidor de metais automotivo,39.9,3870.3
9c89b372-5523-41e9-bedc-991ffae3fbfe,03/15/2023 12:12:31,santa catarina,6,limpa-estofados automotivo,49.9,299.4
d2e112a7-25e9-4b60-be7a-f983e76ab396,03/19/2023 21:20:39,paraná,52,shampoo para carros,29.9,1554.8
d815a308-62f3-4e93-8889-65499ea30499,03/17/2023 22:42:42,rio grande do sul,40,desodorizador de ar automotivo,14.9,596.0
9602145c-3e81-4f57-b871-107aaa1bc9e2,03/22/2023 05:42:30,paraná,24,polidor de metais automotivo,39.9,957.6
c010b594-9fcb-4435-b1e0-5179809fcf94,01/02/2023 00:14:22,rio grande do sul,20,limpa-estofados automotivo,49.9,998.0
bd1ac030-62ab-4dad-aabf-b97f8d6d49e0,04/21/2023 21:46:34,paraná,26,removedor de insetos,19.9,517.4
bdb5a39b-99a4-4f79-922b-2a42ed8995f7,02/15/2023 01:13:17,rio grande do sul,62,limpa-tapetes automotivo,34.9,2163.8
a6277607-e1b2-4e60-b8a2-7b43823f74ec,02/15/2023 07:51:49,paraná,71,limpa-vidros automotivo,19.9,1412.9
98cfe9de-3f76-4b9d-8ee4-829cab2a2069,03/25/2023 12:14:54,paraná,77,condicionador de couro automotivo,49.9,3842.3
5853be7b-1864-4f6f-bd9e-277b104588e3,01/26/2023 23:21:24,paraná,52,limpa-estofados automotivo,49.9,2594.8
a3305e89-9dd4-4063-bd25-13c04bbc2f46,01/22/2023 06:45:13,santa catarina,18,limpa-estofados automotivo,49.9,898.2
aac3bae5-3394-41e3-a175-0d00120b8e1d,01/06/2023 23:50:48,santa catarina,32,limpa-vidros automotivo,19.9,636.8
1a1f1e2e-00c0-4f0a-a26f-6a7a4bc9072d,01/29/2023 01:26:44,paraná,22,condicionador de couro automotivo,49.9,1097.8
fe09602c-e11c-4fa6-92e4-0d9328b244e6,04/12/2023 02:56:00,rio grande do sul,11,limpa-rodas,24.9,273.9
0463d2aa-a6ff-4295-a305-81becbbd6196,01/06/2023 18:23:52,rio grande do sul,78,limpa-rodas,24.9,1942.2
82f6074a-f2ef-4637-b51d-a1db429c1975,01/06/2023 18:21:34,paraná,99,limpa-rodas,24.9,2465.1
697f03b9-1a47-41e8-b3fa-94188f4c3ff7,01/16/2023 11:13:05,paraná,58,limpa-estofados automotivo,49.9,2894.2
83053fa3-e337-4819-be86-f72c27536d24,02/04/2023 22:53:14,paraná,1,limpa-tapetes automotivo,34.9,34.9
7c4b9605-1926-4c93-82a6-1158302afb5f,01/06/2023 10:46:51,paraná,14,limpa-vidros automotivo,19.9,278.6
eb068500-2c57-4fba-9f62-4992480aac81,04/22/2023 23:50:07,paraná,70,limpa-vidros automotivo,19.9,1393.0
b903dea6-39da-43b5-952c-6fcae7513204,03/09/2023 20:02:45,paraná,98,polidor de metais automotivo,39.9,3910.2
664bcbe7-1568-4169-992b-8f67bc3f8303,01/20/2023 08:37:14,paraná,72,cera automotiva,39.9,2872.8
593126fd-630a-40b5-b1ac-a4d93799b6e8,04/13/2023 13:40:22,santa catarina,76,condicionador de couro automotivo,49.9,3792.4
57ace0ef-37f3-4da5-a568-c56bca34bb14,03/24/2023 00:45:15,paraná,39,removedor de insetos,19.9,776.1
70c203b9-ad59-4eba-a5e4-a588db1a6e7e,01/07/2023 15:19:11,paraná,28,condicionador de couro automotivo,49.9,1397.2
87d2a9ef-5015-458c-83c0-1575a34cf7e6,01/21/2023 22:08:17,rio grande do sul,27,limpa-vidros automotivo,19.9,537.3
2497f19b-77f8-4ade-92c2-c7fe355e5f7e,01/09/2023 16:11:20,santa catarina,9,shampoo para carros,29.9,269.1
5346e586-e60f-403d-a90e-ae98143a2094,02/28/2023 06:16:17,rio grande do sul,42,limpa-vidros automotivo,19.9,835.8
4ae04ef2-3daa-456f-9e3a-8f7e4c3a907b,04/03/2023 03:13:39,santa catarina,4,limpa-rodas,24.9,99.6
5e344a35-047e-4cf5-97c4-7b1d4c9b67ce,03/28/2023 07:08:14,paraná,57,cera automotiva,39.9,2274.3
4ea93ca9-3de0-490d-8dff-854bf96bfd5b,01/14/2023 22:06:14,paraná,46,desodorizador de ar automotivo,14.9,685.4
58e47fdb-f0db-4f59-afc8-b952a620db95,02/22/2023 19:14:14,rio grande do sul,93,limpa-tapetes automotivo,34.9,3245.7
e267e77e-5726-4dce-9b54-e700ac7d1cdf,01/15/2023 02:50:56,paraná,20,limpa-estofados automotivo,49.9,998.0
ce0548d1-c013-4f9b-833b-02462166c903,01/14/2023 21:23:54,santa catarina,91,limpa-rodas,24.9,2265.9
6ece2d18-c621-41a3-8f4f-1ee0f284924c,01/16/2023 11:58:27,rio grande do sul,71,limpa-tapetes automotivo,34.9,2477.9
cbc7b581-8ac5-4910-ac26-028cad0cabd9,03/05/2023 14:05:29,paraná,26,shampoo para carros,29.9,777.4
6ae6e8d6-57d4-438e-a356-ca34ad812097,01/26/2023 14:52:05,santa catarina,100,polidor de metais automotivo,39.9,3990.0
da46257c-3773-4277-a43e-d9ea5a6adf6e,03/14/2023 19:01:54,rio grande do sul,3,removedor de insetos,19.9,59.7
c4420ec6-97c8-4f76-9b26-684c66fbd922,01/04/2023 19:02:07,rio grande do sul,50,desodorizador de ar automotivo,14.9,745.0
4d773938-ab88-478e-852f-1b16a0d3c076,02/22/2023 03:57:18,paraná,93,condicionador de couro automotivo,49.9,4640.7
f9989120-7684-4cc6-9ceb-676f0e95cc35,03/29/2023 23:59:36,paraná,99,shampoo para carros,29.9,2960.1
